,metascore,name,userscore,name_new
434,88,SteamWorld Dig 2,8.6,steamworlddig2
435,88,Cave Story +,7.8,cavestory 
436,88,Night in the Woods,7.7,nightinthewoods
437,88,Nex Machina: Death Machine,8.1,nexmachina deathmachine
438,88,Nioh,8.6,nioh
439,87,Stardew Valley,8.7,stardewvalley
440,87,Final Fantasy XIV: Stormblood,8.1,finalfantasyxiv stormblood
441,87,Odin Sphere Leifthrasir,8.2,odinsphereleifthrasir
442,87,Forza Horizon 3: Blizzard Mountain,7.7,forzahorizon3 blizzardmountain
443,87,INSIDE,8.6,inside
444,87,XCOM 2,7.6,xcom2
445,87,Hex: Shards of Fate,6.4,hex shardsoffate
446,86,Forza Horizon 3,6.8,forzahorizon3
447,86,The Witness,6.7,thewitness
448,86,DiRT Rally,8.0,dirtrally
449,96,Grand Theft Auto V,7.7,grandtheftautov
450,93,Mass Effect 3,5.9,masseffect3
451,93,Mass Effect 3,5.6,masseffect3
452,92,The Walking Dead: A Telltale Games Series,8.6,thewalkingdead atelltalegamesseries
453,92,Journey,8.8,journey
454,92,Xenoblade Chronicles,9.2,xenobladechronicles
455,91,Dishonored,8.4,dishonored
456,91,Borderlands 2,8.2,borderlands2
457,91,Mark of the Ninja,8.0,markoftheninja
458,86,Street Fighter III: Third Strike Online Edition,7.3,streetfighteriii thirdstrikeonlineedition
459,86,Street Fighter III: Third Strike Online Edition,7.2,streetfighteriii thirdstrikeonlineedition
460,86,Dance Central 2,8.2,dancecentral2
461,86,Bastion,8.5,bastion
462,86,DiRT 3,7.0,dirt3
463,86,Fight Night Champion,7.4,fightnightchampion
464,86,NHL 12,7.0,nhl12
465,86,Battlefield 3: Back to Karkand,7.2,battlefield3 backtokarkand
466,87,Injustice 2,8.1,injustice2
467,87,Night in the Woods,7.2,nightinthewoods
468,87,Okami HD,8.1,okamihd
469,87,Hollow Knight,8.8,hollowknight
470,87,Enter the Gungeon,8.0,enterthegungeon
471,87,Raw Data,6.6,rawdata
472,87,Wolfenstein II: The New Colossus,7.5,wolfensteinii thenewcolossus
473,87,Zero Escape: The Nonary Games,8.0,zeroescape thenonarygames
474,86,Killer Instinct Season 3,6.7,killerinstinctseason3
475,86,Stardew Valley,7.8,stardewvalley
476,86,Rise of the Tomb Raider,7.9,riseofthetombraider
477,86,Total War: WARHAMMER,7.3,totalwar warhammer
478,86,Picross 3D: Round 2,7.6,picross3d round2
